user_id,event,timestamp,country,channel,device_type,age_group,level_number,session_count,session_duration_sec,days_since_install,ad_type,ads_shown_count,is_churned
U000001,app_install,2024-03-22 00:00:00,IN,app_store_search,ios,25-34,,1,,0,,,False
U000001,app_open,2024-03-22 00:09:00,IN,app_store_search,ios,25-34,,1,,0,,,False
U000001,signup_complete,2024-03-22 00:12:00,IN,app_store_search,ios,25-34,,1,,0,,,False
U000002,app_install,2024-03-27 00:00:00,US,organic,android,35-44,,1,,0,,,False
U000002,app_open,2024-03-27 00:02:00,US,organic,android,35-44,,1,,0,,,False
U000002,signup_complete,2024-03-27 00:06:00,US,organic,android,35-44,,1,,0,,,False
U000002,tutorial_complete,2024-03-27 00:18:00,US,organic,android,35-44,0.0,1,133.0,0,,,False
U000002,level_complete,2024-03-28 21:34:00,US,organic,android,35-44,7.0,2,1099.0,1,,,False
U000002,ad_impression,2024-03-28 21:36:00,US,organic,android,35-44,7.0,2,1099.0,1,interstitial,3.0,False
U000003,app_install,2024-02-13 02:00:00,ID,influencer,android,45+,,1,,0,,,False
U000003,app_open,2024-02-13 02:25:00,ID,influencer,android,45+,,1,,0,,,False
U000003,signup_complete,2024-02-13 02:27:00,ID,influencer,android,45+,,1,,0,,,False
U000003,tutorial_complete,2024-02-13 02:35:00,ID,influencer,android,45+,0.0,1,553.0,0,,,False
U000003,level_complete,2024-02-13 10:46:00,ID,influencer,android,45+,8.0,5,435.0,0,,,False
U000004,app_install,2024-02-18 00:00:00,GB,organic,android,18-24,,1,,0,,,False
U000004,app_open,2024-02-18 00:27:00,GB,organic,android,18-24,,1,,0,,,False
U000004,signup_complete,2024-02-18 00:33:00,GB,organic,android,18-24,,1,,0,,,False
U000004,tutorial_complete,2024-02-18 00:47:00,GB,organic,android,18-24,0.0,1,155.0,0,,,False
U000004,level_complete,2024-02-18 14:05:00,GB,organic,android,18-24,14.0,2,386.0,0,,,False
U000004,ad_impression,2024-02-18 14:21:00,GB,organic,android,18-24,14.0,2,386.0,0,interstitial,6.0,False
U000004,ad_reward_claimed,2024-02-18 14:21:26,GB,organic,android,18-24,14.0,2,386.0,0,interstitial,6.0,False
U000005,app_install,2024-02-04 00:00:00,IN,paid_social,android,18-24,,1,,0,,,False
U000005,app_open,2024-02-04 00:06:00,IN,paid_social,android,18-24,,1,,0,,,False
U000006,app_install,2024-02-01 01:00:00,ID,organic,android,18-24,,1,,0,,,False
U000006,app_open,2024-02-01 01:09:00,ID,organic,android,18-24,,1,,0,,,False
U000007,app_install,2024-03-22 01:00:00,IN,influencer,android,25-34,,1,,0,,,False
U000007,app_open,2024-03-22 01:27:00,IN,influencer,android,25-34,,1,,0,,,False
U000008,app_install,2024-01-08 01:00:00,ID,organic,android,18-24,,1,,0,,,False
U000009,app_install,2024-02-10 03:00:00,US,app_store_search,ios,35-44,,1,,0,,,False
U000009,app_open,2024-02-10 03:07:00,US,app_store_search,ios,35-44,,1,,0,,,False
U000010,app_install,2024-03-13 02:00:00,IN,organic,ios,25-34,,1,,0,,,False
U000010,app_open,2024-03-13 02:16:00,IN,organic,ios,25-34,,1,,0,,,False
U000010,signup_complete,2024-03-13 02:24:00,IN,organic,ios,25-34,,1,,0,,,False
U000010,tutorial_complete,2024-03-13 02:29:00,IN,organic,ios,25-34,0.0,1,246.0,0,,,False
U000011,app_install,2024-03-09 02:00:00,US,paid_social,android,45+,,1,,0,,,False
U000011,app_open,2024-03-09 02:14:00,US,paid_social,android,45+,,1,,0,,,False
U000012,app_install,2024-02-21 02:00:00,US,influencer,android,25-34,,1,,0,,,False
U000012,app_open,2024-02-21 02:05:00,US,influencer,android,25-34,,1,,0,,,False
U000012,signup_complete,2024-02-21 02:07:00,US,influencer,android,25-34,,1,,0,,,False
U000013,app_install,2024-01-15 01:00:00,BR,organic,ios,35-44,,1,,0,,,False
U000013,app_open,2024-01-15 01:26:00,BR,organic,ios,35-44,,1,,0,,,False
U000014,app_install,2024-03-17 00:00:00,Other,app_store_search,android,45+,,1,,0,,,False
U000014,app_open,2024-03-17 00:20:00,Other,app_store_search,android,45+,,1,,0,,,False
U000015,app_install,2024-03-08 02:00:00,US,organic,android,18-24,,1,,0,,,False
U000016,app_install,2024-01-02 00:00:00,IN,organic,ios,18-24,,1,,0,,,False
U000016,app_open,2024-01-02 00:18:00,IN,organic,ios,18-24,,1,,0,,,False
U000017,app_install,2024-03-23 02:00:00,IN,paid_social,android,35-44,,1,,0,,,False
U000017,app_open,2024-03-23 02:14:00,IN,paid_social,android,35-44,,1,,0,,,False
U000017,signup_complete,2024-03-23 02:15:00,IN,paid_social,android,35-44,,1,,0,,,False
U000018,app_install,2024-02-03 01:00:00,US,app_store_search,ios,18-24,,1,,0,,,False
U000018,app_open,2024-02-03 01:04:00,US,app_store_search,ios,18-24,,1,,0,,,False
U000019,app_install,2024-02-08 01:00:00,US,app_store_search,ios,35-44,,1,,0,,,False
U000019,app_open,2024-02-08 01:25:00,US,app_store_search,ios,35-44,,1,,0,,,False
U000019,signup_complete,2024-02-08 01:34:00,US,app_store_search,ios,35-44,,1,,0,,,False
U000020,app_install,2024-03-17 02:00:00,DE,organic,android,18-24,,1,,0,,,False
U000020,app_open,2024-03-17 02:04:00,DE,organic,android,18-24,,1,,0,,,False
U000021,app_install,2024-02-09 01:00:00,FR,paid_social,android,13-17,,1,,0,,,False
U000021,app_open,2024-02-09 01:29:00,FR,paid_social,android,13-17,,1,,0,,,False
U000022,app_install,2024-01-11 00:00:00,IN,organic,ios,25-34,,1,,0,,,False
U000022,app_open,2024-01-11 00:27:00,IN,organic,ios,25-34,,1,,0,,,False
U000022,signup_complete,2024-01-11 00:36:00,IN,organic,ios,25-34,,1,,0,,,False
U000023,app_install,2024-01-17 03:00:00,FR,paid_social,android,35-44,,1,,0,,,False
U000024,app_install,2024-01-22 02:00:00,DE,paid_social,ios,25-34,,1,,0,,,False
U000024,app_open,2024-01-22 02:20:00,DE,paid_social,ios,25-34,,1,,0,,,False
U000024,signup_complete,2024-01-22 02:24:00,DE,paid_social,ios,25-34,,1,,0,,,False
U000025,app_install,2024-03-29 01:00:00,BR,paid_social,android,18-24,,1,,0,,,False
U000026,app_install,2024-02-21 02:00:00,US,paid_social,android,25-34,,1,,0,,,False
U000026,app_open,2024-02-21 02:17:00,US,paid_social,android,25-34,,1,,0,,,False
U000026,signup_complete,2024-02-21 02:21:00,US,paid_social,android,25-34,,1,,0,,,False
U000026,tutorial_complete,2024-02-21 02:29:00,US,paid_social,android,25-34,0.0,1,130.0,0,,,False
U000026,level_complete,2024-02-21 13:00:00,US,paid_social,android,25-34,2.0,1,648.0,0,,,False
U000026,ad_impression,2024-02-21 13:03:00,US,paid_social,android,25-34,2.0,1,648.0,0,interstitial,2.0,False
U000027,app_install,2024-02-05 03:00:00,Other,organic,android,35-44,,1,,0,,,False
U000027,app_open,2024-02-05 03:05:00,Other,organic,android,35-44,,1,,0,,,False
U000028,app_install,2024-03-14 03:00:00,US,organic,android,18-24,,1,,0,,,False
U000028,app_open,2024-03-14 03:16:00,US,organic,android,18-24,,1,,0,,,False
U000029,app_install,2024-01-25 00:00:00,Other,app_store_search,android,35-44,,1,,0,,,False
U000029,app_open,2024-01-25 00:14:00,Other,app_store_search,android,35-44,,1,,0,,,False
